InsectID,Date,PlantID,Magnet,Microsite,Flowering,RTU,Order,Family,Subfamily,Tribe,Genus,Species,Common Name,Notes,Specimen Location,,ID Keys Used
Open.184.April.10.2017.Braun.1,4.10.2017,184,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,hoverfly,male,,pinned,Key to the Genera of Nearctic Syrphidae
Open.184.April.10.2017.Braun.2,4.10.2017,184,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,"Wing venation from wikipedia, bugguide"
Shrub.184.April.10.2017.Braun.1,4.10.2017,184,larrea,shrub,pre,bee,Hymenoptera,Megachilidae,,Anthidiini,Anthidium,,wool-carder bee,,,pinned,
Shrub.184.April.10.2017.Braun.2,4.10.2017,184,larrea,shrub,pre,bee,Hymenoptera,Halictidae,Halictinae,,Lasioglossum,,,,,pinned,
Open.189.April.10.2017.Braun.1,4.10.2017,189,larrea,open,pre,bee,Hymenoptera,Halictidae,Halictinae,,Halictus,,,,,pinned,
Open.189.April.10.2017.Braun.2,4.10.2017,189,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Open.189.April.10.2017.Braun.3,4.10.2017,189,larrea,open,pre,fly,Diptera,Tachinidae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.4,4.10.2017,189,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.5,4.10.2017,189,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Open.189.April.10.2017.Braun.6,4.10.2017,189,larrea,open,pre,velvet ant,Hymenoptera,Mutillidae,,,,,,,,pinned,
Shrub.189.April.10.2017.Braun.1,4.10.2017,189,larrea,shrub,pre,true.bug,Hymenoptera,Pentamoidae,,,,,,,,pinned,
Shrub.189.April.10.2017.Braun.2,4.10.2017,189,larrea,shrub,pre,wasp,Hymenoptera,,,,,,,,,pinned,
Open.192.April.10.2017.Braun.1,4.10.2017,192,larrea,open,pre,wasp,Hymenoptera,,,,,,,,,pinned,
Open.192.April.10.2017.Braun.2,4.10.2017,192,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.192.April.10.2017.Braun.3,4.10.2017,192,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Shrub.192.April.10.2017.Braun.1,4.10.2017,192,larrea,shrub,pre,wasp,Hymenoptera,Sphecidae,,,,,,,,pinned,
Shrub.192.April.10.2017.Braun.2,4.10.2017,192,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.192.April.10.2017.Braun.3,4.10.2017,192,larrea,shrub,pre,robberfly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.192.April.10.2017.Braun.4,4.10.2017,192,larrea,shrub,pre,bee,Hymenoptera,Megachilidae,,,Osmia,,,,,pinned,
Open.194.April.10.2017.Braun.1,4.10.2017,194,larrea,open,pre,bee,Hymenoptera,Apidae,,,Apis,Apis mellifera,honeybee,,,pinned,
Open.194.April.10.2017.Braun.2,4.10.2017,194,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.194.April.10.2017.Braun.3,4.10.2017,194,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,male,,pinned,
Open.194.April.10.2017.Braun.4,4.10.2017,194,larrea,open,pre,fly,Diptera,?,,,,,,,,pinned,
Shrub.275.April.10.2017.Braun.1,4.10.2017,275,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Shrub.275.April.10.2017.Braun.2,4.10.2017,275,larrea,shrub,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Shrub.275.April.10.2017.Braun.3,4.10.2017,275,larrea,shrub,pre,muscid.fly,Diptera,Sarcophagidae,,,,,,,,pinned,
Shrub.275.April.10.2017.Braun.4,4.10.2017,275,larrea,shrub,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Open.296.April.10.2017.Braun.1,4.10.2017,296,larrea,open,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Open.296.April.10.2017.Braun.2,4.10.2017,296,larrea,open,pre,true.bug,Hemiptera,Reduviidae,Harpactorinae,,,,,,,pinned,
Open.296.April.10.2017.Braun.3,4.10.2017,296,larrea,open,pre,bee,Hymenoptera,Andrenidae,,,Andrena,,,,,pinned,
Open.296.April.10.2017.Braun.4,4.10.2017,296,larrea,open,pre,syrphid,Diptera,Syrphidae,,,Syrphus,,,,,pinned,
Open.296.April.10.2017.Braun.5,4.10.2017,296,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,goldstripes,,pinned,
Open.296.April.10.2017.Braun.6,4.10.2017,296,larrea,open,pre,fly,Diptera,Bombyliidae,Usiinae,,,,,,,pinned,
Open.296.April.10.2017.Braun.7,4.10.2017,296,larrea,open,pre,fly,Diptera,?,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.1,4.10.2017,296,larrea,shrub,pre,fly,Diptera,Asilidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.2,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Andrenidae,,,Calliopsis?,,,,,pinned,
Shrub.296.April.10.2017.Braun.3,4.10.2017,296,larrea,shrub,pre,fly,Diptera,Therevidae?,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.4,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Colletidae,,,Colletes,,,,,pinned,
Shrub.296.April.10.2017.Braun.5,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Halictus,,,,,pinned,
Shrub.296.April.10.2017.Braun.6,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.296.April.10.2017.Braun.7,4.10.2017,296,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.296.April.10.2017.Braun.8,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.9,4.10.2017,296,larrea,shrub,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.10,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Shrub.296.April.10.2017.Braun.11,4.10.2017,296,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
Open.187.April.11.2017.Braun.1,4.11.2017,187,larrea,open,pre,cuckoo.wasp,Hymenoptera,Chrysididae,,,,,,,,pinned,
Shrub.187.April.11.2017.Braun.1,4.11.2017,187,larrea,shrub,pre,bee,Hymenoptera,Halictidae,,,Halictus,,,,,pinned,
Open.193.April.11.2017.Braun.1,4.11.2017,193,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Open.193.April.11.2017.Braun.2,4.11.2017,193,larrea,open,pre,bee,Hymenoptera,Halictidae,,,Lasioglossum,,,,,pinned,
Shrub.193.April.11.2017.Braun.1,4.11.2017,193,larrea,shrub,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.193.April.11.2017.Braun.2,4.11.2017,193,larrea,shrub,pre,fly,Diptera,Muscidae,,,,,,,,pinned,
Shrub.193.April.11.2017.Braun.3,4.11.2017,193,larrea,shrub,pre,wasp,Hymenoptera,Crabronidae,,,,,,,,pinned,
