,highest.rtu,guild
1,Adeloidea,lep
2,Agromyzidae?,fly
3,Ammophila,predatory.wasp
4,Andrena,bee
5,Anthidium,bee
6,Anthocoridae,true.bug
7,Anthomyiidae,fly
8,Aphididae,true.bug
9,Aphoebantus,beefly
10,Apidae,bee
11,Apismellifera,bee
12,Apocrita,wasp
13,Araneae,spider
14,Ashmeadiella,bee
15,Asilidae,fly
16,Atoposmia,bee
17,Berytidae,true.bug
18,Bombyliidae,beefly
19,Braconidae,parasitoid.wasp
20,Buprestidae,beetle
21,Calliphoridae,fly
22,Canacidae,fly
23,Cecidomyiidae,fly
24,Cephranoidea,parasitoid.wasp
25,Ceraphronidae,parasitoid.wasp
26,Cercopidae,true.bug
27,Chalcididae,parasitoid.wasp
28,Chalcidoidea,parasitoid.wasp
29,Chamaemyiidae,fly
30,Chloropidae,fly
31,Chrysididae,parasitoid.wasp
32,Chrysomelidae,beetle
33,Chrysopidae,lacewing
34,Chyromyidae,fly
35,Cicadellidae,true.bug
36,Coccinellidae,beetle
37,Coccinellidaelarva,beetle
38,Coleoptera,beetle
39,Colletes,bee
40,Crabronidae,predatory.wasp
41,Curculionidae,beetle
42,Cysteodemus,beetle
43,damaged,NA
44,Delphacidae,true.bug
45,destroyed,NA
46,Diadasia,bee
47,Diadasia?,bee
48,Diptera,fly
49,Drosophilidae,fly
50,Dryinidae,predatory.wasp
51,Dryudella,predatory.wasp
52,Encrytidae,parasitoid.wasp
53,Encyrtidae,parasitoid.wasp
54,Ephydridae,parasitoid.wasp
55,Eucera,bee
56,Eucharitidae,parasitoid.wasp
57,Eulophidae,parasitoid.wasp
58,Eumeninae,predatory.wasp
59,Eupelmidae,parasitoid.wasp
60,Eupomphaelegans,beetle
61,Eurytomidae,parasitoid.wasp
62,Figitidae,parasitoid.wasp
63,Formicidae,ant
64,Geocoridae,true.bug
65,Halictus,bee
66,Harmostes,true.bug
67,Harpactorinae,true.bug
68,Heleomyzidae,fly
69,Hemiptera,true.bug
70,Hesperapis,bee
71,Hoplitis,bee
72,Ichneumonidae,parasitoid.wasp
73,Lasioglossum,bee
74,Lauxaniidae,fly
75,Lepidoptera,lep
76,Lygaeidae,true.bug
77,Lygaeoidea,true.bug
78,Lytta,beetle
79,Lyttaauriculata,beetle
80,Megachile,bee
81,Megandrena.encelia,bee
82,Megaspilidae,parasitoid.wasp
83,Mellisodes,bee
84,Mellisodes/peponapis?,bee
85,Melyridae,beetle
86,Membracidae,true.bug
87,Microcoryphia,other
88,Milichiidae,fly
89,Milichiidae?,fly
90,Miridae,true.bug
91,Miscophus,predatory.wasp
92,missing,NA
93,Muscidae,fly
94,Mutillidae,velvetant
95,Mymaridae,parasitoid.wasp
96,Myrmosidae??,parasitoid.wasp
97,Mythicomyiidae,fly
98,Nomadopsis,bee
99,Nymph,NA
100,Nymphalidae,lep
101,Orthoptera,orth
102,Osmia,bee
103,Papilionidae,lep
104,Pentamoidae,true.bug
105,Perdita,bee
106,Perilampidae,parasitoid.wasp
107,Phoridae,fly
108,Pipunculidae,fly
109,Platygastridae,parasitoid.wasp
110,Pompilidae,predatory.wasp
111,Pronotacanthaannulata,true.bug
112,Psylloidea,true.bug
113,Pteromalidae,parasitoid.wasp
114,Rhopalidae,true.bug
115,Richardiidae,fly
116,Sarcophagidae,fly
117,Scaeva/Eupeodes,fly
118,Sciaridae,fly
119,Signiphoridae,parasitoid.wasp
120,Solifugae,other
121,Sphecidae,predatory.wasp
122,Tachinidae,fly
123,Tephritidae,fly
124,Tetraloniella?,bee
125,Therevidae,fly
126,Thysanoptera,thrips
127,Tingidae,true.bug
128,Torymidae,parasitoid.wasp
129,Toxomerusmarginatus,fly
130,Trichogrammatidae,parasitoid.wasp
131,Trichoptera?,other
132,Usiinae,fly
133,Zeroes,other
